,Store,Priority,City,State,Lon,Lat
0,A,26,Houston,TX,-95.562207,29.839187
1,B,4,Birmingham,AL,-86.625591,33.410321
2,C,25,Seattle,WA,-122.291399,47.603993
3,D,3,Detroit,MI,-83.255088,42.412144
4,E,5,Nashville,TN,-86.729174,36.135464
5,F,2,Chicago,IL,-87.597287,41.733999999999995
6,G,24,Lansing,IA,-91.228717,43.361018
7,H,1,Fayetteville,NC,-78.907738,35.024302
8,I,23,Miami,FL,-80.31047,25.792304
9,J,22,Tampa,FL,-82.539427,27.886595
10,K,21,Charleston,SC,-80.063175,32.931253999999996
11,L,6,Los Angeles,CA,-118.386826,33.945721999999996
12,M,20,Sacramento,CA,-121.40378999999999,38.568865
13,N,7,Tucson,AZ,-110.845502,32.311728
14,O,8,Dallas,TX,-96.77029300000001,32.84673
15,P,19,Austin,TX,-97.713678,30.19727
16,Q,9,Tulsa,OK,-95.861086,36.177745
17,R,16,New York,NY,-74.002527,40.734408
18,S,10,Baltimore,MD,-76.46729599999999,39.3277
19,T,15,Portland,OR,-122.88965800000001,45.563461
20,U,11,Philadelphia,PA,-75.171584,39.955317
21,V,12,Boston,MA,-71.066428,42.315352000000004
22,W,13,Helena,MT,-112.00339,46.593143
23,X,14,Denver,CO,-104.943955,39.709101000000004
24,Y,18,Milwaukee,WI,-87.925026,42.96156
25,Z,17,Las Vegas,NV,-115.242869,36.177034
